tf,substrate,source,yeastract_sign,in_teufel
RAP1,BAP3,teufel,-,1
STP1,HEM12,teufel,+,1
MSN2,HEM12,teufel,NA,1
STE12,VMS1,teufel,NA,1
RAP1,TPI1,teufel,+,1
GCR1,TPI1,teufel,both,1
STE12,CDC34,teufel,NA,1
ASH1,CDC34,teufel,NA,1
MSN2,CDC34,teufel,NA,1
PDR3,PST1,teufel,both,1
SWI5,PST1,teufel,+,1
UME6,PST1,teufel,-,1
FLO8,PST1,teufel,both,1
STE12,PST1,teufel,NA,1
CBF1,PST1,teufel,-,1
ASH1,PST1,teufel,-,1
ACE2,PST1,teufel,+,1
YAP1,PST1,teufel,both,1
MET4,PST1,teufel,NA,1
YHP1,MAK21,teufel,NA,1
RAP1,LCB2,teufel,+,1
ZAP1,AIM7,teufel,NA,1
CIN5,AIM7,teufel,-,1
IFH1,RPS13,teufel,NA,1
SFP1,RPS13,teufel,NA,1
YAP1,RPS13,teufel,both,1
RAP1,RPS13,teufel,+,1
GCR1,RPS13,teufel,+,1
CST6,OCA6,teufel,-,1
DAL82,DOS2,teufel,+,1
MSN2,DOA4,teufel,NA,1
OAF1,IPT1,teufel,+,1
PDR3,IPT1,teufel,both,1
TUP1,IPT1,teufel,NA,1
PDR1,IPT1,teufel,NA,1
CBF1,IPT1,teufel,+,1
ABF1,IPT1,teufel,+,1
SOK2,IPT1,teufel,NA,1
STE12,SNF11,teufel,-,1
SOK2,SNF11,teufel,NA,1
PDR3,TPS2,teufel,NA,1
SOK2,TPS2,teufel,NA,1
ARO80,PPH3,teufel,NA,1
ABF1,PPH3,teufel,+,1
YRM1,PPH3,teufel,NA,1
RTG3,SED1,teufel,+,1
TEC1,SED1,teufel,-,1
NRG1,SED1,teufel,+,1
ADR1,SED1,teufel,NA,1
SWI4,SED1,teufel,NA,1
STE12,SED1,teufel,NA,1
SKN7,SED1,teufel,NA,1
ZAP1,SED1,teufel,NA,1
YAP1,SED1,teufel,both,1
YOX1,SED1,teufel,NA,1
SOK2,SED1,teufel,NA,1
MSN2,SED1,teufel,both,1
MOT3,SED1,teufel,+,1
SKO1,SED1,teufel,both,1
