substrate,q_x,boot_robust_frac,mean_n_sources,transfer_r_median,repressor_score,carries_repressor,n_repressor_edges,n_edges,n_robust_edges,periodicity_pvalue,score,tier,reason,apply_multiplier,recommended_fallback
HFD1,0.2125,1.0000,1.0000,-0.2338,1.0000,false,0,1,1,5.81844,0.5092,DO-NOT-USE,non-periodic,false,flat_M1
HFI1,0.3702,1.0000,1.0000,0.3215,1.0000,false,0,1,1,0.0306632,0.6050,USE,,true,none
HGH1,0.6502,1.0000,2.0000,0.3628,1.0000,false,0,1,1,0.00150555,0.7359,USE,,true,none
HHF1,0.9894,0.0000,2.5000,0.2009,0.0000,true,1,2,0,5.80321e-19,0.4047,DO-NOT-USE,sign-unstable,false,flat_M1
HHF2,0.9933,0.0000,1.0000,0.7391,1.0000,false,0,3,0,5.41501e-19,0.6132,USE,,true,none
HHO1,0.9972,0.5000,1.0000,0.6794,1.0000,false,0,2,1,1.12963e-18,0.7020,USE,,true,none
HHT1,0.9948,0.0000,1.5000,0.3398,0.0000,true,1,2,0,3.86822e-20,0.3669,DO-NOT-USE,sign-unstable,false,flat_M1
HHT2,0.9919,0.0000,1.0000,0.7498,1.0000,false,0,3,0,5.44018e-18,0.6150,USE,,true,none
HIP1,0.4989,0.5000,1.0000,0.1310,1.0000,false,0,2,1,4.88957,0.4926,DO-NOT-USE,non-periodic,false,flat_M1
HIR2,0.5218,1.0000,1.0000,0.2946,1.0000,false,0,1,1,6.81745,0.6299,DO-NOT-USE,non-periodic,false,flat_M1
HIS1,0.6181,0.3333,1.3333,0.1722,0.3333,true,1,3,1,0.0852418,0.3803,DO-NOT-USE,non-periodic,false,flat_M1
HIS2,0.0896,1.0000,1.0000,0.0577,1.0000,false,0,1,1,1.7422,0.4961,DO-NOT-USE,non-periodic,false,flat_M1
HIS3,0.4181,1.0000,3.0000,0.1279,1.0000,false,0,1,1,0.00253811,0.7092,USE,,true,none
HIS4,0.8563,0.5000,2.5000,0.1137,1.0000,false,0,2,1,8.62469e-07,0.6607,USE,,true,none
HIS5,0.3533,1.0000,3.0000,0.1709,1.0000,false,0,1,1,0.130123,0.7048,DO-NOT-USE,non-periodic,false,flat_M1
HIS6,0.7676,1.0000,3.0000,-0.2010,1.0000,false,0,1,1,0.000512439,0.7535,USE,,true,none
HIS7,0.6303,0.5000,2.5000,-0.0380,1.0000,false,0,2,1,0.0123569,0.5927,USE,,true,none
HIT1,0.5706,1.0000,1.0000,0.3884,1.0000,false,0,1,1,0.000169574,0.6585,USE,,true,none
HLR1,0.9615,1.0000,1.0000,0.2275,1.0000,false,0,1,1,1.39639e-12,0.7045,USE,,true,none
HMF1,0.0301,0.5000,2.0000,-0.6613,1.0000,false,0,2,1,11.8882,0.4394,DO-NOT-USE,non-periodic,false,flat_M1
HMG1,0.6575,0.3333,2.0000,-0.0021,1.0000,false,0,3,1,2.1038e-06,0.5315,USE,,true,none
HMG2,0.1781,1.0000,0.0000,-0.3593,1.0000,false,0,1,1,16.4438,0.4356,DO-NOT-USE,non-periodic,false,flat_M1
HMO1,0.3306,1.0000,1.0000,-0.5295,1.0000,false,0,1,1,0.704477,0.5328,DO-NOT-USE,non-periodic,false,flat_M1
HMRA1,0.4822,1.0000,2.0000,0.1290,1.0000,false,0,1,1,0.305863,0.6556,DO-NOT-USE,non-periodic,false,flat_M1
HMS2,0.6875,0.0000,2.0000,-0.1643,1.0000,false,0,3,0,3.56e-05,0.4708,CAUTION,,false,damped
HMX1,0.5804,0.5000,1.5000,-0.1777,1.0000,false,0,2,1,3.44449,0.5161,DO-NOT-USE,non-periodic,false,flat_M1
HNM1,0.2739,1.0000,2.0000,0.0939,1.0000,false,0,1,1,4.12472,0.6069,DO-NOT-USE,non-periodic,false,flat_M1
HNT1,0.5641,1.0000,0.0000,-0.6056,1.0000,false,0,1,1,1.9863,0.5128,DO-NOT-USE,non-periodic,false,flat_M1
HOC1,0.5464,1.0000,0.0000,-0.2282,1.0000,false,0,1,1,13.8468,0.5093,DO-NOT-USE,non-periodic,false,flat_M1
HOF1,0.9818,1.0000,1.0000,0.7408,1.0000,false,0,1,1,9.33453e-19,0.8112,USE,,true,none
HOG1,0.1771,0.5000,1.0000,0.0077,1.0000,false,0,2,1,12.1758,0.4036,DO-NOT-USE,non-periodic,false,flat_M1
HOM2,0.3173,0.5000,2.0000,0.0276,1.0000,false,0,2,1,0.636723,0.5023,DO-NOT-USE,non-periodic,false,flat_M1
HOM3,0.1304,1.0000,3.0000,0.0175,1.0000,false,0,1,1,6.79696,0.6296,DO-NOT-USE,non-periodic,false,flat_M1
HOM6,0.2241,1.0000,2.0000,-0.2119,1.0000,false,0,1,1,0.834207,0.5782,DO-NOT-USE,non-periodic,false,flat_M1
HOR2,0.7727,0.0000,1.0000,-0.3515,1.0000,false,0,2,0,2.90776e-05,0.4212,CAUTION,,false,damped
HOR7,0.9330,0.3333,2.0000,0.0841,1.0000,false,0,3,1,5.59273e-08,0.6034,USE,,true,none
HOS2,0.0930,0.5000,2.0000,-0.1115,1.0000,false,0,2,1,2.45883,0.4519,DO-NOT-USE,non-periodic,false,flat_M1
HOS3,0.9842,0.3333,2.0000,0.0342,0.3333,true,1,3,1,1.13776e-12,0.4703,CAUTION,,false,damped
HOS4,0.5913,1.0000,1.0000,0.3858,1.0000,false,0,1,1,0.000431207,0.6621,USE,,true,none
HOT13,0.4903,0.0000,1.0000,-0.2839,1.0000,false,0,2,0,0.0388579,0.3647,CAUTION,,false,damped
HPA3,0.8300,1.0000,2.0000,0.5188,1.0000,false,0,1,1,2.17638e-06,0.8031,USE,,true,none
